,DATE_NAME,GEOGRAPHY_NAME,GEOGRAPHY_CODE,VARIABLE_NAME,MEASURES_NAME,OBS_VALUE,OBS_STATUS_NAME
0,Jan 2015-Dec 2015,Andover,E30000159,Economic activity rate - aged 16-64,Variable,79.9,Normal Value
1,Jan 2015-Dec 2015,Andover,E30000159,Economic activity rate - aged 16-64,Numerator,39800.0,Normal Value
2,Jan 2015-Dec 2015,Andover,E30000159,Economic activity rate - aged 16-64,Denominator,49800.0,Normal Value
3,Jan 2015-Dec 2015,Andover,E30000159,Economic activity rate - aged 16-64,Confidence,7.5,Normal Value
4,Jan 2015-Dec 2015,Andover,E30000159,Employment rate - aged 16-64,Variable,77.3,Normal Value
5,Jan 2015-Dec 2015,Andover,E30000159,Employment rate - aged 16-64,Numerator,38400.0,Normal Value
6,Jan 2015-Dec 2015,Andover,E30000159,Employment rate - aged 16-64,Denominator,49800.0,Normal Value
7,Jan 2015-Dec 2015,Andover,E30000159,Employment rate - aged 16-64,Confidence,7.8,Normal Value
8,Jan 2015-Dec 2015,Andover,E30000159,Unemployment rate - aged 16-64 ,Variable,3.4,Normal Value
9,Jan 2015-Dec 2015,Andover,E30000159,Unemployment rate - aged 16-64 ,Numerator,1300.0,Normal Value
10,Jan 2015-Dec 2015,Andover,E30000159,Unemployment rate - aged 16-64 ,Denominator,39800.0,Normal Value
11,Jan 2015-Dec 2015,Andover,E30000159,Unemployment rate - aged 16-64 ,Confidence,,Estimate and confidence interval unreliable since the group sample size is small (3-9)
12,Jan 2015-Dec 2015,Andover,E30000159,% with NVQ4+ - aged 16-64,Variable,39.2,Normal Value
13,Jan 2015-Dec 2015,Andover,E30000159,% with NVQ4+ - aged 16-64,Numerator,19500.0,Normal Value
14,Jan 2015-Dec 2015,Andover,E30000159,% with NVQ4+ - aged 16-64,Denominator,49800.0,Normal Value
15,Jan 2015-Dec 2015,Andover,E30000159,% with NVQ4+ - aged 16-64,Confidence,9.1,Normal Value
16,Jan 2015-Dec 2015,Andover,E30000159,% with no qualifications (NVQ) - aged 16-64,Variable,,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
17,Jan 2015-Dec 2015,Andover,E30000159,% with no qualifications (NVQ) - aged 16-64,Numerator,,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
18,Jan 2015-Dec 2015,Andover,E30000159,% with no qualifications (NVQ) - aged 16-64,Denominator,49800.0,Normal Value
19,Jan 2015-Dec 2015,Andover,E30000159,% with no qualifications (NVQ) - aged 16-64,Confidence,,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
20,Jan 2015-Dec 2015,Ashford,E30000160,Economic activity rate - aged 16-64,Variable,80.1,Normal Value
21,Jan 2015-Dec 2015,Ashford,E30000160,Economic activity rate - aged 16-64,Numerator,58400.0,Normal Value
22,Jan 2015-Dec 2015,Ashford,E30000160,Economic activity rate - aged 16-64,Denominator,73000.0,Normal Value
23,Jan 2015-Dec 2015,Ashford,E30000160,Economic activity rate - aged 16-64,Confidence,5.9,Normal Value
24,Jan 2015-Dec 2015,Ashford,E30000160,Employment rate - aged 16-64,Variable,75.7,Normal Value
25,Jan 2015-Dec 2015,Ashford,E30000160,Employment rate - aged 16-64,Numerator,55300.0,Normal Value
26,Jan 2015-Dec 2015,Ashford,E30000160,Employment rate - aged 16-64,Denominator,73000.0,Normal Value
27,Jan 2015-Dec 2015,Ashford,E30000160,Employment rate - aged 16-64,Confidence,6.3,Normal Value
28,Jan 2015-Dec 2015,Ashford,E30000160,Unemployment rate - aged 16-64 ,Variable,5.4,Normal Value
29,Jan 2015-Dec 2015,Ashford,E30000160,Unemployment rate - aged 16-64 ,Numerator,3200.0,Normal Value
30,Jan 2015-Dec 2015,Ashford,E30000160,Unemployment rate - aged 16-64 ,Denominator,58400.0,Normal Value
31,Jan 2015-Dec 2015,Ashford,E30000160,Unemployment rate - aged 16-64 ,Confidence,,Estimate and confidence interval unreliable since the group sample size is small (3-9)
32,Jan 2015-Dec 2015,Ashford,E30000160,% with NVQ4+ - aged 16-64,Variable,33.0,Normal Value
33,Jan 2015-Dec 2015,Ashford,E30000160,% with NVQ4+ - aged 16-64,Numerator,24100.0,Normal Value
34,Jan 2015-Dec 2015,Ashford,E30000160,% with NVQ4+ - aged 16-64,Denominator,73000.0,Normal Value
35,Jan 2015-Dec 2015,Ashford,E30000160,% with NVQ4+ - aged 16-64,Confidence,6.9,Normal Value
36,Jan 2015-Dec 2015,Ashford,E30000160,% with no qualifications (NVQ) - aged 16-64,Variable,10.7,Normal Value
