"ttwa.name","TTWA11CD","industry","year","variable","value"
"Aberdeen","S22000047","Advertising","2011-14","business.count",58
"Aberdeen","S22000047","Advertising","2011-14","turnover",17595
"Aberdeen","S22000047","Advertising","2011-14","employment",187
"Aberdeen","S22000047","Advertising","2011-14","turn_pw",94.0909090909091
"Aberdeen","S22000047","Advertising","2011-14","work_pb",3.22413793103448
"Aberdeen","S22000047","Advertising","2011-14","business_lq",0.234
"Aberdeen","S22000047","Advertising","2011-14","turnover_lq",0.076
"Aberdeen","S22000047","Advertising","2011-14","emp_lq",0.181
"Aberdeen","S22000047","All creative industries","2014","business.count",1248
"Aberdeen","S22000047","All creative industries","2014","turnover",320192
"Aberdeen","S22000047","All creative industries","2014","employment",3759
"Aberdeen","S22000047","All creative industries","2014","turn_pw",85.1801010907156
"Aberdeen","S22000047","All creative industries","2014","work_pb",3.01201923076923
"Aberdeen","S22000047","All creative industries","2014","business_lq",0.421
"Aberdeen","S22000047","All creative industries","2014","turnover_lq",0.233
"Aberdeen","S22000047","All creative industries","2014","emp_lq",0.4
"Aberdeen","S22000047","Architecture","2011-14","business.count",191
"Aberdeen","S22000047","Architecture","2011-14","turnover",43425
"Aberdeen","S22000047","Architecture","2011-14","employment",596.25
"Aberdeen","S22000047","Architecture","2011-14","turn_pw",72.8301886792453
"Aberdeen","S22000047","Architecture","2011-14","work_pb",3.1217277486911
"Aberdeen","S22000047","Architecture","2011-14","business_lq",1.253
"Aberdeen","S22000047","Architecture","2011-14","turnover_lq",0.885
"Aberdeen","S22000047","Architecture","2011-14","emp_lq",1.24
"Aberdeen","S22000047","Design","2011-14","business.count",103
"Aberdeen","S22000047","Design","2011-14","turnover",16080
"Aberdeen","S22000047","Design","2011-14","employment",210.75
"Aberdeen","S22000047","Design","2011-14","turn_pw",76.2989323843416
"Aberdeen","S22000047","Design","2011-14","work_pb",2.04611650485437
"Aberdeen","S22000047","Design","2011-14","business_lq",0.465
"Aberdeen","S22000047","Design","2011-14","turnover_lq",0.351
"Aberdeen","S22000047","Design","2011-14","emp_lq",0.536
"Aberdeen","S22000047","Film, radio & TV","2011-14","business.count",84
"Aberdeen","S22000047","Film, radio & TV","2011-14","turnover",15415
"Aberdeen","S22000047","Film, radio & TV","2011-14","employment",242.5
"Aberdeen","S22000047","Film, radio & TV","2011-14","turn_pw",63.5670103092784
"Aberdeen","S22000047","Film, radio & TV","2011-14","work_pb",2.88690476190476
"Aberdeen","S22000047","Film, radio & TV","2011-14","business_lq",0.272
"Aberdeen","S22000047","Film, radio & TV","2011-14","turnover_lq",0.058
"Aberdeen","S22000047","Film, radio & TV","2011-14","emp_lq",0.195
"Aberdeen","S22000047","Music & performing arts","2011-14","business.count",154
"Aberdeen","S22000047","Music & performing arts","2011-14","turnover",32050
"Aberdeen","S22000047","Music & performing arts","2011-14","employment",514.75
"Aberdeen","S22000047","Music & performing arts","2011-14","turn_pw",62.2632345798932
"Aberdeen","S22000047","Music & performing arts","2011-14","work_pb",3.34253246753247
"Aberdeen","S22000047","Music & performing arts","2011-14","business_lq",0.424
"Aberdeen","S22000047","Music & performing arts","2011-14","turnover_lq",0.343
"Aberdeen","S22000047","Music & performing arts","2011-14","emp_lq",0.629
"Aberdeen","S22000047","Publishing","2011-14","business.count",47
"Aberdeen","S22000047","Publishing","2011-14","turnover",52445
"Aberdeen","S22000047","Publishing","2011-14","employment",532.75
"Aberdeen","S22000047","Publishing","2011-14","turn_pw",98.4420459877992
"Aberdeen","S22000047","Publishing","2011-14","work_pb",11.3351063829787
"Aberdeen","S22000047","Publishing","2011-14","business_lq",0.42
"Aberdeen","S22000047","Publishing","2011-14","turnover_lq",0.347
"Aberdeen","S22000047","Publishing","2011-14","emp_lq",0.478
"Aberdeen","S22000047","Software & digital","2011-14","business.count",519
"Aberdeen","S22000047","Software & digital","2011-14","turnover",131400
"Aberdeen","S22000047","Software & digital","2011-14","employment",1368.25
"Aberdeen","S22000047","Software & digital","2011-14","turn_pw",96.0350813082404
"Aberdeen","S22000047","Software & digital","2011-14","work_pb",2.63631984585742
"Aberdeen","S22000047","Software & digital","2011-14","business_lq",0.428
"Aberdeen","S22000047","Software & digital","2011-14","turnover_lq",0.269
"Aberdeen","S22000047","Software & digital","2011-14","emp_lq",0.408
"Aberystwyth","W22000021","Advertising","2011-14","business.count",9
"Aberystwyth","W22000021","Advertising","2011-14","turnover",2175
"Aberystwyth","W22000021","Advertising","2011-14","employment",30.5
"Aberystwyth","W22000021","Advertising","2011-14","turn_pw",71.3114754098361
"Aberystwyth","W22000021","Advertising","2011-14","work_pb",3.38888888888889
"Aberystwyth","W22000021","Advertising","2011-14","business_lq",0.297
"Aberystwyth","W22000021","Advertising","2011-14","turnover_lq",0.347
"Aberystwyth","W22000021","Advertising","2011-14","emp_lq",0.337
"Aberystwyth","W22000021","All creative industries","2014","business.count",120
"Aberystwyth","W22000021","All creative industries","2014","turnover",36499
"Aberystwyth","W22000021","All creative industries","2014","employment",393
"Aberystwyth","W22000021","All creative industries","2014","turn_pw",92.8727735368957
"Aberystwyth","W22000021","All creative industries","2014","work_pb",3.275
"Aberystwyth","W22000021","All creative industries","2014","business_lq",0.377
"Aberystwyth","W22000021","All creative industries","2014","turnover_lq",0.994
"Aberystwyth","W22000021","All creative industries","2014","emp_lq",0.5
"Aberystwyth","W22000021","Architecture","2011-14","business.count",11
"Aberystwyth","W22000021","Architecture","2011-14","turnover",1215
"Aberystwyth","W22000021","Architecture","2011-14","employment",29.5
"Aberystwyth","W22000021","Architecture","2011-14","turn_pw",41.1864406779661
"Aberystwyth","W22000021","Architecture","2011-14","work_pb",2.68181818181818
"Aberystwyth","W22000021","Architecture","2011-14","business_lq",0.619
