"ttwa.name","region","big_region"
"Barnsley","Yorkshire and The Humber","North"
"Bradford","Yorkshire and The Humber","North"
"Dorchester and Weymouth","South West","South"
"Grantham","East Midlands","Midlands"
"Hastings","South East","South"
"Isle of Wight","South East","South"
"Lancaster and Morecambe","North West","North"
"Middlesbrough and Stockton","North East","North"
"Minehead","South West","South"
"Peterborough","East of England","East"
"Poole","South West","South"
"Thetford and Mildenhall","East of England","East"
"Whitby","Yorkshire and The Humber","North"
"Andover","South East","South"
"Ashford","South East","South"
"Banbury","South East","South"
"Barnstaple","South West","South"
"Barrow-in-Furness","North West","North"
"Basingstoke","South East","South"
"Bath","South West","South"
"Bedford","East of England","East"
"Bideford","South West","South"
"Birkenhead","North West","North"
"Birmingham","West Midlands","Midlands"
"Blackburn","North West","North"
"Blackpool","North West","North"
"Blandford Forum and Gillingham","South West","South"
"Blyth and Ashington","North East","North"
"Boston","East Midlands","Midlands"
"Bournemouth","South West","South"
"Bridgwater","South West","South"
"Bridlington","Yorkshire and The Humber","North"
"Bridport","South West","South"
"Brighton","South East","South"
"Bristol","South West","South"
"Bude","South West","South"
"Burnley","North West","North"
"Burton upon Trent","East Midlands","Midlands"
"Bury St Edmunds","East of England","East"
"Buxton","East Midlands","Midlands"
"Cambridge","East of England","East"
"Canterbury","South East","South"
"Chelmsford","East of England","East"
"Cheltenham","South West","South"
"Chesterfield","East Midlands","Midlands"
"Chichester and Bognor Regis","South East","South"
"Clacton","East of England","East"
"Colchester","East of England","East"
"Corby","East Midlands","Midlands"
"Coventry","West Midlands","Midlands"
"Crawley","South East","South"
"Crewe","North West","North"
"Cromer and Sheringham","East of England","East"
"Darlington","North East","North"
"Derby","East Midlands","Midlands"
"Doncaster","Yorkshire and The Humber","North"
"Dudley","West Midlands","Midlands"
"Durham and Bishop Auckland","North East","North"
"Eastbourne","South East","South"
"Evesham","West Midlands","Midlands"
"Exeter","South West","South"
"Falmouth","South West","South"
"Folkestone and Dover","South East","South"
"Gloucester","South West","South"
"Great Yarmouth","East of England","East"
"Grimsby","Yorkshire and The Humber","North"
"Guildford and Aldershot","South East","South"
"Halifax","Yorkshire and The Humber","North"
"Harrogate","Yorkshire and The Humber","North"
"Hartlepool","North East","North"
"Hereford","West Midlands","Midlands"
"Hexham","North East","North"
"High Wycombe and Aylesbury","South East","South"
"Huddersfield","Yorkshire and The Humber","North"
"Hull","Yorkshire and The Humber","North"
"Huntingdon","East of England","East"
"Ipswich","East of England","East"
"Kendal","North West","North"
"Kettering and Wellingborough","East Midlands","Midlands"
"King's Lynn","East of England","East"
"Kingsbridge and Dartmouth","South West","South"
"Launceston","South West","South"
"Leamington Spa","West Midlands","Midlands"
"Leeds","Yorkshire and The Humber","North"
"Leicester","East Midlands","Midlands"
"Lincoln","East Midlands","Midlands"
